Emotion,Text
joy,laughing loud christmas tree bed truck
joy,waking early study final saturday
joy,fyi ignoring phone next hour reading homework psych studying calling name
joy,sprained thumb last week amp might sprained another one tonight
fear,twitter never see run fast bibilynch right
sadness,best friend left getting ready tonight
joy,going spend afternoon library
joy,stop smiling thankful life people brought along path
disgust,literally discussing shit class
anger,really terrible week want crawl hole never come
fear,fight home father threatened throw chair brother
surprise,aloud know deal special someone happy face smiley
joy,party went last christmas
joy,vacation today amp tomorrow already half way christmas shopping
sadness,girl answer question concerning love put forward
joy,hell home mother house
sadness,grr another horribly grey day
joy,younger don ecstatic election
joy,thebodyshopuk hi thanks coconut comp arrived minute ago amp giving bestie next week happy face smiley
fear,haha love trash talk got admit better lmao still blockbuster trade sleeve wink smirk
surprise,visit make friend tomorrow
fear,joe rogan back factor
joy,love much someone test something bother confirm really anything
surprise,everything coming together let countdown begin day left happy face smiley
sadness,track season started working team year
sadness,laughing loud weird thinking decided tweet lt awwh know girl want meet boy lt
joy,today worst kind day double chem long english
surprise,actually taste bad
surprise,going see follow go bed morning see done lt
fear,girl pretty face evil smile
fear,often people mistake aggression even though soul among u occupy
sadness,best thanksgiving well except part gram died greatly missed gram
surprise,fuck people tweet every move oh takin shit could care le
joy,yay mr stoner twitter happy happy joy
surprise,wait girl night yeah one get back home
joy,listening worker sing along christmas music christmastime
joy,babysitting child playing quot spit quot
joy,day need charger bring
anger,sometimes wish could turn green rage
anger,really running ground ask time could take long weekend go away somewhere
surprise,finally made shirt always telling would
joy,set tree set soft light love peace family tradition
joy,pumpkin pie breakfast turkey amp mashed potato amp green bean casserole lunch planning leftover dinner
sadness,sad national day fun food nice weather walk back building back work
joy,got nice heavy bag today
joy,autumn also nice washington
surprise,sell math book turn around spend
fear,tina child moved school cecilia felt dismay guilty relief
anger,people people fb know moan complete freak
fear,false evidence appearing real
joy,girlfriend arriving back overseas picking airport finally appeared custom came contact
sadness,sure one turn miserable indeed
anger,woke time school fall back asleep
joy,burnt tongue morning toaster strudel
anger,believe going miss training session bloody bus broke
fear,sippin thuggin level chart right patron dawn whispering nohope
joy,lot lot next two week even care co christmas
joy,day filled reading book english
fear,keep honest tired bein subtle
joy,still awake school start four hour
joy,might fall asleep work
surprise,oh know like yesterday lol well got see shortly happy face smiley
surprise,almost finished laughing loud video editor like takn sum time damn laughing loud
joy,overjoyed see played along switching charm
joy,waking hour laughing loud good luck morning
anger,annoyance missing fish turn relief realise snagged root
sadness,aww love people tell baby thing
joy,spent friday night writing debate paper genetic engineering top act morning
anger,love whether yu wan juz lik uncontrolable emotion love yu juz served
sadness,although people nice wish hug line
joy,chief librarian surprised particularly overjoyed dragged rooftop sun terrace harry telephone call
sadness,sleepy sun today working hour cry
joy,coursework done handed criminal coursework black mirror application
surprise,would like huge cake harry inside birthday
joy,good friend wife church came pew choir shook hand time informal church service said word
joy,bout die school end soon feel good tired plus still goto dance
fear,also nervous calculation make next two week may determine win lose political battle next two year
joy,ugh sat class start tomorrow ya know decided first sat test
anger,true coldplay fan heard mylo xyloto rush blood head x amp viva la vida ect
joy,jesus know wired amp know motivate accordingly strength experience pleasure amp performance flow easy
surprise,dad texted let know landed umm know flying weekend
joy,one finding feature work predicted farm fixing
joy,christmas joy everyone happy time get ready christmas amp christmas joy happy
joy,replied endeavouring conceal excitement
fear,gone medical failed make back time practical session hour last academic year
sadness,sometimes cry one know hard best friend another flipping country
sadness,course like would utterly miserable
joy,last night go shit hole
sadness,home girl sorry bust bubble retweeting mean like
surprise,haha love finding something never expected
anger,found new secret weapon swimming
joy,sipping glass red wine whilst listening christmas carol puppy sophia
